sweepsTime, magnetization
1, 0.085000
2, 0.040000
3, 0.030000
4, 0.005000
5, 0.095000
6, 0.075000
7, 0.115000
8, 0.085000
9, 0.150000
10, 0.175000
11, 0.185000
12, 0.145000
13, 0.115000
14, 0.100000
15, 0.155000
16, 0.250000
17, 0.260000
18, 0.270000
19, 0.265000
20, 0.280000
21, 0.255000
22, 0.245000
23, 0.295000
24, 0.270000
25, 0.240000
26, 0.160000
27, 0.230000
28, 0.270000
29, 0.210000
30, 0.225000
31, 0.220000
32, 0.215000
33, 0.220000
34, 0.225000
35, 0.260000
36, 0.315000
37, 0.335000
38, 0.290000
39, 0.310000
40, 0.240000
41, 0.205000
42, 0.270000
43, 0.245000
44, 0.245000
45, 0.265000
46, 0.345000
47, 0.445000
48, 0.440000
49, 0.430000
50, 0.400000
51, 0.345000
52, 0.330000
53, 0.405000
54, 0.395000
55, 0.455000
56, 0.405000
57, 0.370000
58, 0.305000
59, 0.305000
60, 0.310000
61, 0.370000
62, 0.365000
63, 0.330000
64, 0.315000
65, 0.315000
66, 0.300000
67, 0.285000
68, 0.330000
69, 0.505000
70, 0.485000
71, 0.520000
72, 0.515000
73, 0.495000
74, 0.460000
75, 0.485000
76, 0.395000
77, 0.295000
78, 0.260000
79, 0.180000
80, 0.235000
81, 0.180000
82, 0.150000
83, 0.080000
84, 0.130000
85, 0.185000
86, 0.165000
87, 0.080000
88, 0.095000
89, 0.115000
90, 0.165000
91, 0.275000
92, 0.310000
93, 0.240000
94, 0.265000
95, 0.305000
96, 0.280000
97, 0.330000
98, 0.375000
99, 0.340000
100, 0.410000
101, 0.390000
102, 0.395000
103, 0.430000
104, 0.405000
105, 0.435000
106, 0.350000
107, 0.390000
108, 0.395000
109, 0.370000
110, 0.330000
111, 0.370000
112, 0.370000
113, 0.340000
114, 0.415000
115, 0.475000
116, 0.530000
117, 0.645000
118, 0.685000
119, 0.705000
120, 0.700000
121, 0.665000
122, 0.575000
123, 0.640000
124, 0.600000
125, 0.580000
126, 0.570000
127, 0.575000
128, 0.600000
129, 0.555000
130, 0.540000
131, 0.480000
132, 0.475000
133, 0.430000
134, 0.450000
135, 0.400000
136, 0.355000
137, 0.420000
138, 0.345000
139, 0.380000
140, 0.480000
141, 0.535000
142, 0.500000
143, 0.505000
144, 0.495000
145, 0.475000
146, 0.525000
147, 0.515000
148, 0.530000
149, 0.585000
150, 0.530000
151, 0.475000
152, 0.535000
153, 0.580000
154, 0.495000
155, 0.465000
156, 0.480000
157, 0.520000
158, 0.365000
159, 0.425000
160, 0.330000
161, 0.315000
162, 0.250000
163, 0.220000
164, 0.280000
165, 0.245000
166, 0.155000
167, 0.215000
168, 0.315000
169, 0.305000
170, 0.200000
171, 0.190000
172, 0.210000
173, 0.135000
174, -0.050000
175, -0.085000
176, -0.125000
177, -0.095000
178, -0.070000
179, -0.040000
180, 0.055000
181, 0.010000
182, 0.005000
183, -0.025000
184, 0.000000
185, -0.020000
186, -0.095000
187, -0.080000
188, -0.090000
189, -0.130000
190, -0.160000
191, -0.190000
192, -0.180000
193, -0.115000
194, -0.250000
195, -0.325000
196, -0.340000
197, -0.390000
198, -0.360000
199, -0.290000
200, -0.220000
201, -0.290000
202, -0.305000
203, -0.315000
204, -0.250000
205, -0.305000
206, -0.270000
207, -0.230000
208, -0.135000
209, -0.200000
210, -0.110000
211, -0.075000
212, -0.045000
213, -0.075000
214, 0.000000
215, -0.005000
216, 0.060000
217, 0.085000
218, 0.025000
219, -0.010000
220, -0.035000
221, -0.105000
222, -0.085000
223, -0.140000
224, -0.130000
225, -0.195000
226, -0.170000
227, -0.155000
228, -0.175000
229, -0.165000
230, -0.200000
231, -0.200000
232, -0.215000
233, -0.245000
234, -0.225000
235, -0.070000
236, -0.020000
237, -0.030000
238, -0.055000
239, -0.085000
240, -0.130000
241, -0.185000
242, -0.145000
243, -0.115000
244, -0.015000
245, -0.055000
246, 0.015000
247, 0.065000
248, 0.060000
249, 0.050000
250, 0.045000
251, 0.115000
252, 0.165000
253, 0.215000
254, 0.145000
255, 0.250000
256, 0.230000
257, 0.180000
258, 0.230000
259, 0.175000
260, 0.130000
261, 0.155000
262, 0.240000
263, 0.225000
264, 0.230000
265, 0.245000
266, 0.355000
267, 0.395000
268, 0.460000
269, 0.545000
270, 0.570000
271, 0.535000
272, 0.575000
273, 0.580000
274, 0.580000
275, 0.505000
276, 0.530000
277, 0.580000
278, 0.575000
279, 0.595000
280, 0.515000
281, 0.600000
282, 0.615000
283, 0.575000
284, 0.600000
285, 0.600000
286, 0.580000
287, 0.685000
288, 0.665000
289, 0.745000
290, 0.730000
291, 0.715000
292, 0.720000
293, 0.730000
294, 0.715000
295, 0.695000
296, 0.740000
297, 0.780000
298, 0.820000
299, 0.800000
300, 0.790000
301, 0.685000
302, 0.615000
303, 0.505000
304, 0.535000
305, 0.475000
306, 0.460000
307, 0.495000
308, 0.495000
309, 0.490000
310, 0.415000
311, 0.435000
312, 0.445000
313, 0.540000
314, 0.475000
315, 0.455000
316, 0.455000
317, 0.475000
318, 0.495000
319, 0.450000
320, 0.455000
321, 0.545000
322, 0.450000
323, 0.410000
324, 0.370000
325, 0.335000
326, 0.400000
327, 0.460000
328, 0.465000
329, 0.445000
330, 0.445000
331, 0.400000
332, 0.425000
333, 0.400000
334, 0.430000
335, 0.430000
336, 0.525000
337, 0.590000
338, 0.505000
339, 0.535000
340, 0.455000
341, 0.370000
342, 0.405000
343, 0.400000
344, 0.435000
345, 0.430000
346, 0.450000
347, 0.300000
348, 0.230000
349, 0.150000
350, 0.080000
351, 0.055000
352, 0.015000
353, -0.050000
354, -0.010000
355, -0.115000
356, -0.060000
357, -0.055000
358, -0.130000
359, -0.155000
360, -0.280000
361, -0.320000
362, -0.370000
363, -0.410000
364, -0.380000
365, -0.340000
366, -0.310000
367, -0.315000
368, -0.415000
369, -0.480000
370, -0.455000
371, -0.440000
372, -0.485000
373, -0.530000
374, -0.595000
375, -0.630000
376, -0.635000
377, -0.620000
378, -0.660000
379, -0.705000
380, -0.690000
381, -0.690000
382, -0.665000
383, -0.665000
384, -0.555000
385, -0.595000
386, -0.580000
387, -0.605000
388, -0.530000
389, -0.530000
390, -0.490000
391, -0.440000
392, -0.450000
393, -0.470000
394, -0.455000
395, -0.540000
396, -0.525000
397, -0.525000
398, -0.505000
399, -0.450000
400, -0.420000
401, -0.310000
402, -0.180000
403, -0.070000
404, -0.035000
405, -0.120000
406, -0.175000
407, -0.220000
408, -0.215000
409, -0.295000
410, -0.310000
411, -0.230000
412, -0.320000
413, -0.405000
414, -0.470000
415, -0.585000
416, -0.640000
417, -0.580000
418, -0.600000
419, -0.645000
420, -0.670000
421, -0.715000
422, -0.655000
423, -0.575000
424, -0.515000
425, -0.530000
426, -0.520000
427, -0.445000
428, -0.420000
429, -0.490000
430, -0.435000
431, -0.420000
432, -0.375000
433, -0.380000
434, -0.410000
435, -0.450000
436, -0.365000
437, -0.275000
438, -0.200000
439, -0.170000
440, -0.130000
441, 0.020000
442, 0.135000
443, 0.095000
444, 0.075000
445, 0.215000
446, 0.175000
447, 0.150000
448, 0.250000
449, 0.235000
450, 0.175000
451, 0.190000
452, 0.250000
453, 0.250000
454, 0.290000
455, 0.260000
456, 0.265000
457, 0.295000
458, 0.310000
459, 0.245000
460, 0.275000
461, 0.315000
462, 0.225000
463, 0.260000
464, 0.280000
465, 0.355000
466, 0.450000
467, 0.450000
468, 0.440000
469, 0.425000
470, 0.450000
471, 0.405000
472, 0.405000
473, 0.365000
474, 0.380000
475, 0.305000
476, 0.315000
477, 0.335000
478, 0.350000
479, 0.365000
480, 0.385000
481, 0.480000
482, 0.570000
483, 0.555000
484, 0.645000
485, 0.625000
486, 0.685000
487, 0.765000
488, 0.680000
489, 0.630000
490, 0.515000
491, 0.530000
492, 0.525000
493, 0.545000
494, 0.585000
495, 0.605000
496, 0.620000
497, 0.650000
498, 0.575000
499, 0.435000
500, 0.475000
501, 0.470000
502, 0.440000
503, 0.440000
504, 0.430000
505, 0.400000
506, 0.420000
507, 0.440000
508, 0.410000
509, 0.360000
510, 0.380000
511, 0.350000
512, 0.365000
513, 0.375000
514, 0.420000
515, 0.465000
516, 0.550000
517, 0.540000
518, 0.550000
519, 0.575000
520, 0.585000
521, 0.620000
522, 0.580000
523, 0.620000
524, 0.600000
525, 0.575000
526, 0.570000
527, 0.460000
528, 0.520000
529, 0.525000
530, 0.570000
531, 0.520000
532, 0.545000
533, 0.470000
534, 0.475000
535, 0.545000
536, 0.530000
537, 0.490000
538, 0.535000
539, 0.575000
540, 0.595000
541, 0.685000
542, 0.620000
543, 0.565000
544, 0.525000
545, 0.475000
546, 0.550000
547, 0.525000
548, 0.580000
549, 0.635000
550, 0.675000
551, 0.690000
552, 0.625000
553, 0.615000
554, 0.660000
555, 0.625000
556, 0.630000
557, 0.605000
558, 0.630000
559, 0.715000
560, 0.755000
561, 0.745000
562, 0.755000
